bin_start,bin_end,total,fast,expanded,solver_fallback,expanded_rate,prime_total,square_total,expanded_primes,expanded_squares,max_t_used,p95_t_used,max_window_used
8000002,8050001,2083,2083,0,0,0.0,3122,9,0,0,253,87,64
8050002,8100001,2084,2084,0,0,0.0,3125,9,0,0,253,85,64
8100002,8150001,2083,2082,1,0,0.00048007681228996637,3126,8,0,1,2332,85,64
8150002,8200001,2083,2083,0,0,0.0,3169,9,0,0,253,83,64
8200002,8250001,2084,2084,0,0,0.0,3160,9,0,0,247,83,64
8250002,8300001,2083,2083,0,0,0.0,3118,8,0,0,253,77,64
8300002,8350001,2083,2083,0,0,0.0,3169,9,0,0,254,88,64
8350002,8400001,2084,2083,1,0,0.0004798464491362764,3111,9,0,0,253,87,64
8400002,8450001,2083,2082,1,0,0.00048007681228996637,3090,8,0,1,967,89,64
8450002,8500001,2083,2082,1,0,0.00048007681228996637,3152,9,0,0,253,81,64
8500002,8550001,2084,2084,0,0,0.0,3156,9,0,0,253,85,64
8550002,8600001,2083,2083,0,0,0.0,3164,8,0,0,253,82,64
8600002,8650001,2083,2083,0,0,0.0,3127,9,0,0,253,79,64
8650002,8700001,2084,2084,0,0,0.0,3149,8,0,0,256,87,64
8700002,8750001,2083,2083,0,0,0.0,3135,9,0,0,239,77,64
8750002,8800001,2083,2082,1,0,0.00048007681228996637,3156,8,0,0,253,83,64
8800002,8850001,2084,2083,1,0,0.0004798464491362764,3107,8,0,1,989,85,64
8850002,8900001,2083,2083,0,0,0.0,3109,9,0,0,253,79,64
8900002,8950001,2083,2082,1,0,0.00048007681228996637,3134,8,0,0,254,75,64
8950002,9000001,2084,2083,1,0,0.0004798464491362764,3133,9,0,1,999,85,64
9000002,9050001,2083,2083,0,0,0.0,3067,8,0,0,253,89,64
9050002,9100001,2083,2083,0,0,0.0,3116,8,0,0,239,79,64
9100002,9150001,2084,2084,0,0,0.0,3116,8,0,0,239,89,64
9150002,9200001,2083,2083,0,0,0.0,3129,9,0,0,251,79,64
9200002,9250001,2083,2083,0,0,0.0,3140,8,0,0,253,77,64
9250002,9300001,2084,2084,0,0,0.0,3121,8,0,0,253,85,64
9300002,9350001,2083,2083,0,0,0.0,3120,8,0,0,253,85,64
9350002,9400001,2083,2083,0,0,0.0,3102,8,0,0,253,77,64
9400002,9450001,2084,2084,0,0,0.0,3095,9,0,0,253,89,64
9450002,9500001,2083,2083,0,0,0.0,3083,8,0,0,253,83,64
9500002,9550001,2083,2083,0,0,0.0,3120,8,0,0,247,83,64
9550002,9600001,2084,2084,0,0,0.0,3153,8,0,0,247,85,64
9600002,9650001,2083,2083,0,0,0.0,3111,8,0,0,254,79,64
9650002,9700001,2083,2083,0,0,0.0,3092,8,0,0,253,87,64
9700002,9750001,2084,2084,0,0,0.0,3122,8,0,0,253,89,64
9750002,9800001,2083,2083,0,0,0.0,3089,8,0,0,253,85,64
9800002,9850001,2083,2081,2,0,0.0009601536245799327,3090,8,0,0,253,79,64
9850002,9900001,2084,2084,0,0,0.0,3090,8,0,0,254,87,64
9900002,9950001,2083,2082,1,0,0.00048007681228996637,3075,8,0,0,250,87,64
9950002,10000001,2083,2082,1,0,0.00048007681228996637,3059,8,0,0,255,83,64
10000002,10050001,2084,2082,2,0,0.0009596928982725527,3130,8,0,0,251,93,64
10050002,10100001,2083,2083,0,0,0.0,3111,8,0,0,251,89,64
10100002,10150001,2083,2083,0,0,0.0,3107,7,0,0,253,79,64
10150002,10200001,2084,2084,0,0,0.0,3043,8,0,0,253,83,64
10200002,10250001,2083,2083,0,0,0.0,3093,8,0,0,253,79,64
10250002,10300001,2083,2081,2,0,0.0009601536245799327,3115,8,0,1,1067,79,64
10300002,10350001,2084,2084,0,0,0.0,3084,8,0,0,253,80,64
10350002,10400001,2083,2083,0,0,0.0,3120,7,0,0,253,89,64
10400002,10450001,2083,2083,0,0,0.0,3104,8,0,0,256,85,64
10450002,10500001,2084,2084,0,0,0.0,3123,8,0,0,253,87,64
10500002,10550001,2083,2083,0,0,0.0,3094,8,0,0,253,77,64
10550002,10600001,2083,2083,0,0,0.0,3092,7,0,0,253,91,64
10600002,10650001,2084,2083,1,0,0.0004798464491362764,3100,8,0,0,253,83,64
10650002,10700001,2083,2083,0,0,0.0,3112,8,0,0,253,89,64
10700002,10750001,2083,2083,0,0,0.0,3101,7,0,0,253,85,64
10750002,10800001,2084,2083,1,0,0.0004798464491362764,3046,8,0,0,253,85,64
10800002,10850001,2083,2081,2,0,0.0009601536245799327,3103,7,0,0,250,77,64
10850002,10900001,2083,2083,0,0,0.0,3084,8,0,0,253,85,64
10900002,10950001,2084,2084,0,0,0.0,3116,8,0,0,253,80,64
10950002,11000001,2083,2083,0,0,0.0,3060,7,0,0,253,89,64
11000002,11050001,2083,2082,1,0,0.00048007681228996637,3060,8,0,0,251,79,64
11050002,11100001,2084,2084,0,0,0.0,3130,7,0,0,253,89,64
11100002,11150001,2083,2081,2,0,0.0009601536245799327,3060,8,0,0,253,93,64
11150002,11200001,2083,2083,0,0,0.0,3107,7,0,0,253,85,64
11200002,11250001,2084,2083,1,0,0.0004798464491362764,3067,8,0,1,1115,79,64
11250002,11300001,2083,2083,0,0,0.0,3060,7,0,0,253,77,64
11300002,11350001,2083,2083,0,0,0.0,3065,7,0,0,250,77,64
11350002,11400001,2084,2084,0,0,0.0,3065,8,0,0,254,82,64
11400002,11450001,2083,2083,0,0,0.0,3058,7,0,0,239,87,64
11450002,11500001,2083,2082,1,0,0.00048007681228996637,3100,8,0,1,1129,89,64
11500002,11550001,2084,2084,0,0,0.0,3102,7,0,0,253,95,64
11550002,11600001,2083,2082,1,0,0.00048007681228996637,3064,7,0,0,253,79,64
11600002,11650001,2083,2083,0,0,0.0,3099,8,0,0,253,77,64
11650002,11700001,2084,2084,0,0,0.0,3086,7,0,0,253,87,64
11700002,11750001,2083,2083,0,0,0.0,3066,7,0,0,253,79,64
11750002,11800001,2083,2083,0,0,0.0,3068,8,0,0,253,85,64
11800002,11850001,2084,2083,1,0,0.0004798464491362764,3045,7,0,0,250,85,64
11850002,11900001,2083,2083,0,0,0.0,3087,7,0,0,253,85,64
11900002,11950001,2083,2082,1,0,0.00048007681228996637,3085,7,0,0,253,83,64
11950002,12000001,2084,2084,0,0,0.0,3069,8,0,0,253,83,64
12000002,12050001,2083,2083,0,0,0.0,3051,7,0,0,254,93,64
12050002,12100001,2083,2082,1,0,0.00048007681228996637,3038,7,0,0,253,89,64
12100002,12150001,2084,2084,0,0,0.0,3113,7,0,0,253,89,64
12150002,12200001,2083,2083,0,0,0.0,3023,7,0,0,253,87,64
12200002,12250001,2083,2082,1,0,0.00048007681228996637,3073,8,0,0,255,89,64
12250002,12300001,2084,2084,0,0,0.0,3077,7,0,0,249,85,64
12300002,12350001,2083,2081,2,0,0.0009601536245799327,3052,7,0,1,2872,79,64
12350002,12400001,2083,2083,0,0,0.0,3115,7,0,0,253,83,64
12400002,12450001,2084,2084,0,0,0.0,3072,7,0,0,253,77,64
12450002,12500001,2083,2083,0,0,0.0,3029,7,0,0,251,77,64
12500002,12550001,2083,2083,0,0,0.0,3048,7,0,0,253,89,64
12550002,12600001,2084,2084,0,0,0.0,3051,7,0,0,253,72,64
12600002,12650001,2083,2082,1,0,0.00048007681228996637,3082,7,0,0,253,87,64
12650002,12700001,2083,2083,0,0,0.0,3057,7,0,0,253,89,64
12700002,12750001,2084,2084,0,0,0.0,3085,7,0,0,256,87,64
12750002,12800001,2083,2081,2,0,0.0009601536245799327,3073,7,0,0,253,85,64
12800002,12850001,2083,2083,0,0,0.0,3070,7,0,0,250,80,64
12850002,12900001,2084,2084,0,0,0.0,3024,7,0,0,254,89,64
12900002,12950001,2083,2082,1,0,0.00048007681228996637,3012,7,0,1,1197,79,64
